; index, empty, ペパーミント, ほうじ茶, 紅茶, ;
0,15.878,12.876,12.759,14.513,;
1,15.823,12.721,12.642,14.409,;
2,13.409,11.226,11.334,12.516,;
3,13.479,12.015,11.536,12.689,;
4,13.526,12.37,11.558,12.734,;
5,16.041,14.323,13.305,14.911,;
6,15.965,13.892,13.012,14.712,;
7,18.444,16.197,15.102,17.306,;
8,18.444,15.644,14.975,17.228,;
9,18.444,15.149,14.857,17.158,;
0,15.87,12.886,12.741,14.516,;
1,15.82,12.735,12.612,14.414,;
2,13.407,11.238,11.32,12.514,;
3,13.487,12.02,11.531,12.684,;
4,13.52,12.372,11.55,12.734,;
5,16.035,14.317,13.29,14.936,;
6,15.956,13.9,12.995,14.711,;
7,18.444,16.207,15.068,17.308,;
8,18.444,15.651,14.95,17.226,;
9,18.444,15.157,14.83,17.16,;
0,15.863,12.887,12.721,14.511,;
1,15.817,12.738,12.6,14.414,;
2,13.408,11.24,11.314,12.513,;
3,13.489,12.015,11.524,12.685,;
4,13.522,12.371,11.545,12.735,;
5,16.041,14.325,13.29,14.935,;
6,15.958,13.889,12.993,14.714,;
7,18.444,16.213,15.066,17.303,;
8,18.444,15.649,14.937,17.222,;
9,18.444,15.16,14.817,17.158,;
0,15.866,12.895,12.71,14.515,;
1,15.819,12.748,12.593,14.41,;
2,13.403,11.243,11.308,12.521,;
3,13.484,12.025,11.527,12.687,;
4,13.524,12.376,11.55,12.737,;
5,16.037,14.329,13.291,14.949,;
6,15.962,13.903,12.99,14.717,;
7,18.444,16.219,15.072,17.313,;
8,18.444,15.653,14.945,17.222,;
9,18.444,15.156,14.817,17.16,;
0,15.865,12.9,12.713,14.52,;
1,15.818,12.749,12.596,14.42,;
2,13.404,11.247,11.313,12.524,;
3,13.482,12.027,11.527,12.693,;
4,13.52,12.37,11.553,12.742,;
5,16.036,14.329,13.293,14.949,;
6,15.961,13.901,12.995,14.722,;
7,18.444,16.21,15.071,17.324,;
8,18.444,15.657,14.94,17.227,;
9,18.444,15.169,14.82,17.162,;
0,15.864,12.905,12.711,14.526,;
1,15.817,12.754,12.597,14.426,;
2,13.405,11.251,11.319,12.528,;
3,13.479,12.028,11.535,12.695,;
4,13.522,12.374,11.559,12.751,;
5,16.04,14.329,13.307,14.96,;
6,15.962,13.908,13,14.736,;
7,18.444,16.228,15.075,17.335,;
8,18.444,15.661,14.948,17.251,;
9,18.444,15.178,14.828,17.189,;
0,15.864,12.906,12.72,14.537,;
1,15.819,12.751,12.596,14.432,;
2,13.403,11.253,11.322,12.536,;
3,13.481,12.029,11.539,12.704,;
4,13.523,12.368,11.565,12.753,;
5,16.035,14.336,13.314,14.965,;
6,15.962,13.912,13.012,14.742,;
7,18.444,16.228,15.085,17.34,;
8,18.444,15.665,14.957,17.25,;
9,18.444,15.177,14.835,17.184,;
0,15.868,12.911,12.73,14.543,;
1,15.818,12.77,12.608,14.437,;
2,13.4,11.263,11.327,12.54,;
3,13.483,12.026,11.546,12.704,;
4,13.522,12.372,11.57,12.763,;
5,16.035,14.334,13.328,14.968,;
6,15.955,13.919,13.022,14.749,;
7,18.444,16.237,15.091,17.351,;
8,18.444,15.672,14.972,17.26,;
9,18.444,15.183,14.847,17.201,;
0,15.866,12.914,12.735,14.555,;
1,15.814,12.77,12.62,14.446,;
2,13.401,11.263,11.334,12.544,;
3,13.477,12.032,11.554,12.707,;
4,13.522,12.374,11.579,12.761,;
5,16.03,14.333,13.331,14.979,;
6,15.957,13.92,13.029,14.759,;
7,18.444,16.233,15.11,17.351,;
8,18.444,15.67,14.977,17.275,;
9,18.444,15.175,14.858,17.204,;
0,15.865,12.916,12.75,14.554,;
1,15.815,12.77,12.628,14.452,;
2,13.399,11.264,11.341,12.547,;
3,13.479,12.032,11.562,12.711,;
4,13.517,12.378,11.589,12.769,;
5,16.03,14.336,13.341,14.992,;
6,15.953,13.919,13.045,14.762,;
7,18.444,16.236,15.122,17.367,;
8,18.444,15.668,15,17.283,;
9,18.444,15.184,14.876,17.213,;
0,15.862,12.914,12.752,14.557,;
1,15.819,12.768,12.639,14.462,;
2,13.397,11.261,11.345,12.548,;
3,13.479,12.028,11.57,12.724,;
4,13.519,12.372,11.597,12.77,;
5,16.034,14.331,13.355,14.985,;
6,15.955,13.927,13.061,14.764,;
7,18.444,16.24,15.144,17.372,;
8,18.444,15.668,15.01,17.291,;
9,18.444,15.176,14.886,17.219,;
0,15.868,12.915,12.771,14.572,;
1,15.815,12.773,12.647,14.464,;
2,13.399,11.262,11.357,12.552,;
3,13.477,12.03,11.58,12.721,;
4,13.524,12.37,11.607,12.775,;
5,16.033,14.332,13.376,14.998,;
6,15.954,13.922,13.079,14.772,;
7,18.444,16.239,15.155,17.382,;
8,18.444,15.666,15.021,17.295,;
9,18.444,15.174,14.901,17.233,;
0,15.863,12.916,12.78,14.574,;
1,15.811,12.77,12.66,14.474,;
2,13.4,11.261,11.364,12.557,;
3,13.477,12.026,11.59,12.729,;
4,13.517,12.37,11.616,12.781,;
5,16.037,14.327,13.386,15.002,;
6,15.95,13.923,13.079,14.781,;
7,18.444,16.236,15.177,17.388,;
8,18.444,15.657,15.047,17.302,;
9,18.444,15.175,14.938,17.233,;
0,15.857,12.914,12.797,14.585,;
1,15.808,12.772,12.667,14.473,;
2,13.401,11.262,11.375,12.562,;
3,13.481,12.027,11.598,12.733,;
4,13.518,12.373,11.624,12.786,;
5,16.033,14.328,13.408,15.012,;
6,15.95,13.917,13.095,14.784,;
7,18.444,16.23,15.187,17.396,;
8,18.444,15.668,15.054,17.309,;
9,18.444,15.176,14.955,17.246,;
0,15.863,12.913,12.807,14.588,;
1,15.813,12.768,12.681,14.488,;
2,13.4,11.263,11.38,12.563,;
3,13.477,12.029,11.606,12.737,;
4,13.517,12.367,11.632,12.786,;
5,16.03,14.329,13.41,15.018,;
6,15.962,13.923,13.11,14.793,;
7,18.444,16.242,15.206,17.405,;
8,18.444,15.656,15.066,17.328,;
9,18.444,15.172,14.964,17.253,;
0,15.854,12.917,12.818,14.594,;
1,15.817,12.769,12.691,14.49,;
2,13.4,11.26,11.393,12.575,;
3,13.476,12.03,11.615,12.735,;
4,13.519,12.367,11.642,12.794,;
5,16.03,14.326,13.43,15.026,;
6,15.953,13.921,13.117,14.807,;
7,18.444,16.231,15.22,17.418,;
8,18.444,15.655,15.087,17.325,;
9,18.444,15.164,14.978,17.258,;
0,15.856,12.913,12.844,14.6,;
1,15.815,12.768,12.702,14.501,;
2,13.399,11.255,11.398,12.581,;
3,13.476,12.029,11.624,12.748,;
4,13.519,12.364,11.653,12.799,;
5,16.033,14.327,13.445,15.034,;
6,15.955,13.917,13.133,14.815,;
7,18.444,16.241,15.231,17.422,;
8,18.444,15.656,15.102,17.337,;
9,18.444,15.171,14.995,17.275,;
0,15.857,12.907,12.852,14.61,;
1,15.81,12.764,12.72,14.507,;
2,13.398,11.261,11.407,12.582,;
3,13.477,12.024,11.633,12.746,;
4,13.515,12.37,11.661,12.807,;
5,16.032,14.329,13.457,15.038,;
6,15.954,13.92,13.153,14.823,;
7,18.444,16.228,15.248,17.429,;
8,18.444,15.646,15.117,17.35,;
9,18.444,15.156,15.01,17.277,;
0,15.863,12.907,12.869,14.618,;
1,15.812,12.761,12.734,14.516,;
2,13.397,11.252,11.418,12.587,;
3,13.477,12.026,11.641,12.752,;
4,13.514,12.37,11.67,12.81,;
5,16.031,14.322,13.472,15.04,;
6,15.951,13.914,13.16,14.827,;
7,18.444,16.225,15.268,17.442,;
8,18.444,15.648,15.129,17.361,;
9,18.444,15.16,15.026,17.286,;
0,15.742,12.895,12.881,14.623,;
1,15.708,12.752,12.738,14.52,;
2,13.34,11.253,11.425,12.588,;
3,13.422,12.024,11.649,12.759,;
4,13.466,12.354,11.679,12.816,;
5,15.956,14.325,13.466,15.049,;
6,15.86,13.91,13.167,14.831,;
7,18.444,16.228,15.289,17.45,;
8,18.444,15.64,15.151,17.365,;
9,18.444,15.152,15.042,17.297,;
0,15.94,12.891,12.891,14.632,;
1,15.883,12.754,12.745,14.529,;
2,13.497,11.251,11.432,12.594,;
3,13.605,12.026,11.66,12.765,;
4,13.656,12.354,11.688,12.818,;
5,16.206,14.322,13.478,15.059,;
6,16.098,13.909,13.181,14.836,;
7,18.444,16.219,15.302,17.457,;
8,18.444,15.634,15.172,17.363,;
9,18.444,15.147,15.064,17.305,;
0,15.927,12.898,12.9,14.637,;
1,15.878,12.751,12.759,14.532,;
2,13.493,11.249,11.452,12.599,;
3,13.598,12.022,11.668,12.77,;
4,13.652,12.359,11.695,12.84,;
5,16.195,14.322,13.493,15.063,;
6,16.093,13.912,13.197,14.848,;
7,18.444,16.221,15.312,17.459,;
8,18.444,15.633,15.174,17.374,;
9,18.444,15.134,15.066,17.305,;
0,15.933,12.895,12.911,14.646,;
1,15.87,12.745,12.776,14.539,;
2,13.49,11.243,11.46,12.608,;
3,13.593,12.026,11.674,12.772,;
4,13.648,12.357,11.706,12.841,;
5,16.192,14.311,13.512,15.066,;
6,16.084,13.913,13.216,14.851,;
7,18.444,16.221,15.33,17.471,;
8,18.444,15.628,15.189,17.387,;
9,18.444,15.137,15.083,17.313,;
0,15.921,12.89,12.923,14.648,;
1,15.865,12.75,12.78,14.544,;
2,13.486,11.246,11.466,12.604,;
3,13.595,12.018,11.685,12.777,;
4,13.652,12.346,11.713,12.848,;
5,16.189,14.314,13.524,15.073,;
6,16.084,13.911,13.216,14.853,;
7,18.444,16.218,15.342,17.477,;
8,18.444,15.625,15.211,17.389,;
9,18.444,15.129,15.097,17.324,;
0,15.922,12.885,12.933,14.653,;
1,15.858,12.743,12.783,14.548,;
2,13.482,11.242,11.476,12.612,;
3,13.592,12.017,11.692,12.777,;
4,13.644,12.349,11.722,12.846,;
5,16.189,14.308,13.539,15.077,;
6,16.077,13.909,13.24,14.864,;
7,18.444,16.219,15.365,17.475,;
8,18.444,15.618,15.226,17.396,;
9,18.444,15.118,15.124,17.335,;
0,15.913,12.878,12.947,14.66,;
1,15.848,12.739,12.806,14.566,;
2,13.482,11.241,11.483,12.615,;
3,13.593,12.015,11.7,12.78,;
4,13.64,12.356,11.729,12.854,;
5,16.188,14.311,13.536,15.081,;
6,16.085,13.908,13.249,14.871,;
7,18.444,16.216,15.38,17.493,;
8,18.444,15.612,15.233,17.404,;
9,18.444,15.121,15.127,17.344,;
0,15.917,12.88,12.955,14.667,;
1,15.853,12.734,12.814,14.571,;
2,13.482,11.24,11.491,12.617,;
3,13.582,12.012,11.707,12.791,;
4,13.643,12.348,11.737,12.856,;
5,16.18,14.307,13.559,15.092,;
6,16.072,13.903,13.259,14.872,;
7,18.444,16.203,15.39,17.492,;
8,18.444,15.613,15.249,17.414,;
9,18.444,15.124,15.142,17.347,;
0,15.91,12.879,12.965,14.663,;
1,15.846,12.729,12.841,14.571,;
2,13.474,11.237,11.497,12.625,;
3,13.585,12.011,11.716,12.789,;
4,13.642,12.351,11.745,12.863,;
5,16.182,14.302,13.563,15.106,;
6,16.066,13.9,13.262,14.883,;
7,18.444,16.211,15.401,17.509,;
8,18.444,15.596,15.261,17.415,;
9,18.444,15.112,15.152,17.346,;
0,15.897,12.871,12.987,14.672,;
1,15.839,12.725,12.849,14.579,;
2,13.473,11.229,11.504,12.628,;
3,13.581,12.01,11.721,12.795,;
4,13.636,12.35,11.753,12.865,;
5,16.175,14.303,13.577,15.108,;
6,16.062,13.896,13.267,14.89,;
7,18.444,16.201,15.413,17.518,;
8,18.444,15.588,15.272,17.429,;
9,18.444,15.108,15.169,17.373,;
0,15.902,12.868,12.985,14.679,;
1,15.835,12.727,12.859,14.591,;
2,13.468,11.226,11.51,12.634,;
3,13.58,12.009,11.728,12.797,;
4,13.639,12.341,11.759,12.869,;
5,16.172,14.302,13.586,15.112,;
6,16.065,13.896,13.284,14.9,;
7,18.444,16.204,15.419,17.515,;
8,18.444,15.58,15.287,17.425,;
9,18.444,15.1,15.179,17.372,;
0,15.897,12.863,12.995,14.684,;
1,15.836,12.723,12.868,14.587,;
2,13.47,11.225,11.517,12.631,;
3,13.582,12.007,11.735,12.797,;
4,13.636,12.338,11.765,12.873,;
5,16.172,14.297,13.597,15.111,;
6,16.061,13.899,13.294,14.902,;
7,18.444,16.191,15.435,17.529,;
8,18.444,15.585,15.301,17.443,;
9,18.444,15.098,15.192,17.381,;
0,15.887,12.858,13.002,14.69,;
1,15.828,12.725,12.88,14.593,;
2,13.468,11.227,11.521,12.64,;
3,13.577,12.005,11.742,12.805,;
4,13.634,12.344,11.774,12.878,;
5,16.176,14.299,13.603,15.116,;
